STATE_NAME,Physicians/10000,Primary Care Physicians/10000,Patient Care Primary Care Physicians/10000,General Surgeons/10000,Patient Care General Surgeons/10000,Median_Household_Income_2018,Percent of Population Aged 60+,anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Heart disease_prevalence
North Carolina,255.0,86.2,78.1,7.1,6.2,48691.64,25.371,47.919,35.051,9.645,14.175,3.6919999999999997,9.062999999999999
North Dakota,237.6,87.0,79.59999999999998,10.5,9.699999999999998,58070.301886792455,27.232075471698113,46.4566037735849,35.735849056603776,7.3999999999999995,11.833962264150944,3.2943396226415094,8.601886792452829
Ohio,292.7,93.7,83.7,8.3,7.1,55374.96590909091,23.623863636363637,48.66477272727273,36.570454545454545,9.971590909090908,12.854545454545455,3.209090909090909,8.626136363636364
Oklahoma,206.7,73.9,68.5,6.2,5.8,47492.0,23.6,50.31688311688312,36.80259740259741,9.96103896103896,13.84155844155844,3.5714285714285716,9.62077922077922
Oregon,303.4,109.4,101.0,9.2,8.3,54679.47222222222,28.54444444444444,44.25,32.37222222222223,8.952777777777778,12.552777777777777,3.5083333333333333,8.713888888888889
Pennsylvania,320.5,100.8,88.2,8.7,7.2,55861.89552238806,25.865671641791046,44.8044776119403,33.38507462686567,8.555223880597016,11.901492537313432,3.2134328358208957,8.031343283582089
Rhode Island,370.0,117.5,106.6,10.1,8.6,73987.2,24.86,36.54,26.860000000000003,7.12,10.059999999999999,2.8,6.82
South Carolina,229.5,80.1,72.3,7.0,6.2,46011.82608695652,24.63913043478261,49.7195652173913,37.47608695652174,9.165217391304349,15.441304347826087,3.8152173913043477,8.580434782608695
South Dakota,240.4,92.8,84.8,9.2,8.6,51945.21212121212,25.431818181818183,44.04090909090909,33.81818181818182,7.11060606060606,11.837878787878788,3.440909090909091,8.68030303030303
Tennessee,253.1,85.1,77.8,8.1,7.4,47251.45263157895,24.809473684210527,51.25684210526315,36.64421052631579,11.753684210526314,14.528421052631579,3.5884210526315785,9.730526315789474
Texas,224.8,72.9,66.5,6.2,5.4,51302.24803149606,23.40511811023622,49.28543307086614,37.33031496062992,8.341732283464568,14.40984251968504,3.5940944881889765,8.795669291338582
Utah,216.2,65.3,62.2,5.8,5.4,62675.1724137931,19.324137931034482,39.22758620689655,30.889655172413793,6.031034482758621,10.317241379310344,2.893103448275862,6.403448275862068
Vermont,367.1,130.3,121.5,11.7,9.9,58226.42857142857,26.75,37.1,28.142857142857142,7.478571428571429,10.007142857142856,2.9857142857142853,7.078571428571428
Virginia,263.2,90.3,81.7,7.3,6.3,59157.67669172932,24.91127819548872,45.64736842105263,33.98796992481203,8.62406015037594,12.840601503759398,3.382706766917293,8.139097744360901
Washington,278.8,100.6,91.7,6.9,6.1,59598.179487179485,26.492307692307694,40.794871794871796,31.633333333333333,7.369230769230769,11.515384615384615,3.3153846153846156,7.874358974358975
West Virginia,263.4,100.1,89.4,10.5,9.2,43184.236363636366,26.99818181818182,55.93090909090909,39.08363636363636,13.781818181818181,15.838181818181818,3.6981818181818182,11.181818181818182
Wisconsin,264.9,94.6,86.4,7.900000000000001,7.1,58008.75,25.975,42.84444444444445,34.770833333333336,7.3583333333333325,10.600000000000001,3.2041666666666666,7.7958333333333325
Wyoming,207.9,79.8,76.2,10.6,10.4,61964.434782608696,23.839130434782607,38.94782608695652,30.043478260869566,7.6000000000000005,10.226086956521739,3.0478260869565217,7.321739130434783
